UTM_X,UTM_Y,sqft_lot,grade,condition,waterfront,view,age,bathrooms,sqft_living,log_price
558724.5836837763,5285365.894459543,7000,7,4,0,0,43,2.25,1710,5.653212513775344
551925.8381706878,5273952.969934591,1021,8,3,0,0,9,3.5,1460,5.7558748556724915
548494.3005706116,5261830.900999975,8636,6,3,0,0,91,1,860,5.230448921378274
551122.9692435373,5245337.485801873,11986,6,5,0,3,97,1.75,1730,5.531478917042255
562608.5903728104,5286884.792169589,7746,10,3,0,0,1,4.5,3720,5.982271233039568
545421.1284152819,5269664.05648627,2500,8,3,0,1,21,2.5,2000,5.773054693364263
547127.4124054986,5263242.362330565,4930,6,3,0,0,65,1,1080,5.423245873936808
560823.5724544238,5278307.185494713,8500,7,3,0,0,62,1.75,1280,5.77451696572855
561611.2059941706,5267722.91193247,10714,8,5,0,0,57,1.75,3020,5.793790384690818
551940.5402444702,5289113.666336752,9083,7,3,0,0,64,1,1050,5.511883360978874
552242.5509431658,5272155.227964094,987,7,3,0,0,4,2.5,1230,5.57978359661681
555061.9533900665,5244061.5653022155,9301,9,3,0,0,14,2.5,2650,5.632457292184724
553405.3705263146,5284692.111849875,5400,7,4,0,0,61,1,1380,5.57978359661681
557771.0662486164,5260425.787278423,7755,7,3,0,0,63,1.5,2010,5.338456493604605
550944.9001904054,5291527.887157946,8529,7,5,0,0,64,1.75,1640,5.643452676486188
561100.5870414212,5258981.339276655,5564,7,3,0,0,14,2.5,2760,5.6283378335761185
552931.2094765862,5287333.116910429,7573,7,4,0,0,38,1,1180,5.550228353055094
551901.8500314882,5285056.388257587,7626,7,5,0,0,25,3,1630,5.683497317679811
558981.5179478572,5267373.433502696,15207,10,4,0,0,49,2.25,2950,5.9965116721541785
560631.2683028049,5246050.230895877,18055,7,3,0,0,10,5,3028,5.681241237375588
565158.5213114301,5273452.318679878,8250,7,4,0,0,55,1.75,1420,5.662757831681574
553008.9817365254,5270539.407142567,12000,8,3,0,0,94,2,2880,5.892094602690481
553643.8323244253,5283238.2596374145,10418,8,3,0,0,47,2.25,2510,5.9164539485499255
565508.8992465844,5255572.281831824,7350,8,3,0,0,41,1.75,1610,5.496237545166736
548751.938117411,5258020.835758924,11347,8,4,0,0,69,1.75,2960,5.671172842715083
553795.859457387,5274903.565713165,6179,9,4,0,0,89,3,3050,6.168792020314182
564265.9756758313,5245132.980089454,6500,8,3,0,0,36,2.25,1940,5.3404441148401185
551350.2847764347,5288052.4966025455,8287,7,4,0,0,87,1,1440,5.568201724066995
560939.6132356455,5259968.869685377,6900,6,3,0,0,72,1,880,5.278753600952829
563345.7636613222,5267341.331169949,10455,10,3,0,2,34,2.5,2720,5.989004615698537
549659.9240021082,5239723.483705755,8060,9,3,0,0,24,2.5,3140,5.59100892467731
551774.6170385386,5282498.844396198,7830,9,5,0,0,60,2.75,2460,5.921686475483602
549788.7873233876,5277791.095595103,1152,8,3,0,0,12,3.25,1470,5.788875115775417
565285.1439421141,5268852.097961923,10611,8,5,0,0,38,2.25,2530,5.770852011642144
547398.7014040243,5238915.771566747,8520,7,3,0,0,37,1.75,2120,5.44420098886416
545428.1049756835,5278411.19178525,3522,6,3,0,0,68,1,840,5.6075622431835885
550055.0232784867,5281761.324852921,4360,9,3,0,0,1,3.75,3010,6.051152522447381
552130.2895963655,5276299.991556351,3357,7,4,0,0,89,2.25,2610,6.020775488193558
551388.6294797608,5283718.046754791,5350,7,3,0,0,60,1.75,1470,5.6674529528899535
553171.0041080425,5269262.700538534,5400,6,3,0,0,56,1,1010,5.501059262217751
550754.0752321912,5287647.116283707,7440,7,3,0,0,66,1,1210,5.51181654130309
565809.1689654213,5275738.232835112,11100,7,5,0,0,58,2.5,2540,5.799340549453582
548165.3003860549,5256048.76316139,15653,9,3,0,0,25,2,2580,5.682145076373832
551014.3875882576,5257817.815017266,9750,7,3,0,0,62,1.5,1370,5.471291711058939
546315.1760770022,5280174.2863984965,1948,6,5,0,0,115,1,940,5.741151598851785
553480.275387222,5284703.915869996,4440,6,3,0,0,34,1,1190,5.582631439489637
551679.0183922257,5284809.874943166,1154,7,3,0,0,10,2.5,1256,5.500716623555479
544833.8619467013,5267792.304769236,8625,10,3,0,3,17,3,3230,6.1003705451175625
548737.2612843715,5241605.152508936,9600,7,3,0,0,39,2.25,2270,5.484298415428118
560494.9032617328,5288229.547366816,15669,9,3,0,0,24,2.5,2390,5.819543935541868
554884.3522559113,5254974.155796901,9600,6,3,0,0,68,2,2030,5.404455681740351
555366.4770577815,5291423.939031988,11457,8,3,0,0,56,1,1320,5.53141504551013
550951.4686051877,5282235.931423453,6380,7,4,0,0,75,1,930,5.596597095626461
549383.2075616408,5281333.22118609,4416,7,3,0,0,89,3.5,2850,5.942008053022313
560336.0870814478,5245380.329082099,3562,9,3,0,0,3,2.5,2156,5.5409548089261325
547433.5919972502,5262622.435734373,9000,7,2,0,0,26,2.5,1920,5.628388930050312
554432.0107108857,5254969.939221247,11652,6,4,0,0,44,1,1020,5.335457900689384
545715.6179661982,5280047.283403083,1879,8,3,0,0,14,2.25,1750,5.720159303405957
565029.2800858191,5271561.311883706,9144,7,4,0,0,59,2.25,1940,5.694605198933568
553677.6502825127,5287695.650411671,11972,11,3,1,4,34,2.5,3830,6.267171728403014
551834.6740742903,5275752.733710935,4760,9,5,0,0,109,3.25,2470,6.122215878272827
564647.106296447,5244814.834189212,8959,7,3,0,0,22,2,1320,5.423245873936808
553552.4825420631,5252205.484860591,11530,7,3,0,0,55,1.5,1170,5.3918169236132485
562552.9383038098,5264087.246133918,11632,8,3,0,0,27,2.5,2250,5.730782275666389
552786.8219139074,5286720.481991418,6100,6,3,0,0,64,1,1060,5.357934847000454
565397.9076385561,5258760.995793321,10350,7,4,0,0,39,1.75,1400,5.484299839346786
567693.3442199836,5288131.213933256,12528,7,4,0,0,48,1,1750,5.635483746814912
548036.1949848635,5262594.010350802,10880,6,3,0,0,91,1.5,2060,5.541753924982827
563510.2273305143,5252160.3092971565,2856,7,3,0,0,12,2.25,2080,5.427323786357247
546486.8175317569,5239508.65702702,8740,8,4,0,0,28,1.75,1820,5.392696953259666
562400.9671233603,5285270.849180248,7950,7,4,0,0,43,2.5,1720,5.720159303405957
567175.3673961272,5274542.268679768,10844,7,3,0,0,41,1.75,1490,5.648360010980932
552613.1805289029,5272736.521308927,4400,7,3,0,0,91,1,1740,5.73917663191073
561504.4814856872,5263564.842665588,8861,8,5,0,0,36,2.75,2620,5.715167357848458
553837.4823554483,5286630.096278032,13342,7,3,1,4,81,1.75,2300,6.125481265700594
546678.5457496347,5281666.549600116,4219,7,3,0,0,76,1,1180,5.638489256954637
548246.1094843158,5282690.781664785,6700,7,3,0,0,95,1,1140,5.732393759822968
555225.9489736704,5266703.182291552,6723,7,3,0,0,57,1.5,1760,5.672097857935717
562873.6245193809,5262267.853556556,8400,7,3,0,0,57,1,940,5.359835482339888
547918.653687898,5286000.257578837,8157,7,3,0,0,71,1,1430,5.544068044350276
564554.0655140771,5260118.757650244,9629,7,4,0,0,54,1.75,1860,5.498310553789601
550652.5727862142,5282088.827631104,3720,7,3,0,0,32,2,1440,5.676693609624866
548646.7492332644,5288607.172106631,8100,7,4,0,0,68,1.75,1540,5.633468455579586
561711.0802248605,5265389.848267106,9848,7,5,0,0,53,1.5,1830,5.670245853074124
551470.5389314155,5282940.735620276,5080,7,3,0,0,77,1,800,5.606918525948291
555799.9114181274,5261751.524786402,7980,7,3,0,0,59,1.5,1320,5.4065401804339555
552060.3479408408,5267296.5282049645,8120,7,3,0,0,45,2.5,2720,5.632457292184724
562893.6878482667,5260400.783043401,7315,6,5,0,0,34,1,1090,5.460897842756548
553109.7105832561,5284211.461656624,7740,6,3,0,0,91,1,930,5.4623979978989565
557516.6726543137,5286154.089419662,8424,7,4,0,0,36,2.25,2020,5.6673595461830875
545666.2827156787,5267165.236690619,6400,7,3,0,0,104,2.75,2900,5.653212513775344
561128.873801182,5256269.655685971,9001,8,3,0,0,7,2,2750,5.52244423350632
550233.1972875561,5261034.2226868635,6250,7,3,0,0,53,1,1210,5.243038048686294
548445.0126832912,5276823.902183106,3800,8,4,0,2,92,1.75,2190,5.994756944587628
546209.0796737811,5265124.466529904,9839,6,3,0,0,105,1,940,5.574031267727719
554702.6786927426,5290306.13295592,10200,8,3,0,2,49,1.75,2180,5.643452676486188
552892.2574877413,5283375.863850612,7260,7,3,0,0,62,1,1340,5.754348335711019
555553.397842798,5240009.503446324,9639,7,4,0,0,48,1,1140,5.361727836017593
552096.1794661868,5246301.8430320155,7956,9,3,0,0,10,2.5,2790,5.574031267727719
558742.5954300171,5238562.244504505,7200,7,4,0,0,61,1,940,5.213517756996305
549283.9906879031,5275319.35569141,2975,8,3,0,2,22,2.5,1980,5.866877814337498
561791.3324883392,5272026.285447367,13430,9,4,0,0,51,2.25,2400,5.93277807006055
546297.7415024653,5282363.726439607,6009,8,4,0,3,61,1,1630,5.740362689494244
566425.01327089,5281024.961939216,8400,7,4,0,0,35,1.75,1730,5.717670503002262
545955.297021808,5278215.268449446,6000,7,3,0,0,53,4,2680,5.8904210188009145
554390.4505792006,5267540.053791659,5200,7,3,0,0,58,1,890,5.498310553789601
564161.4777420915,5261570.485456485,17389,5,4,0,0,67,1,1210,5.413299764081252
548940.2942910184,5280451.416841058,5300,7,3,0,0,75,1.5,2260,5.643452676486188
555623.1035776881,5240632.55455262,9600,7,2,0,0,51,1,1440,5.431283331807261
550114.6665145251,5239582.852372559,7754,8,3,0,0,29,2.75,2660,5.44793286559218
561074.9688116118,5268639.812331334,17833,9,4,0,0,42,2.25,3230,6.324282455297693
560827.1166027166,5285143.001380684,3286,7,3,0,0,33,1.5,1220,5.469822015978163
549526.4913129901,5282134.699181379,1245,8,3,0,0,11,2.25,1520,5.607455023214668
562988.0046894613,5244574.544707475,8886,7,4,0,0,31,1.5,1070,5.380211241711606
560581.349960673,5287130.045940277,7770,7,3,0,0,48,1.75,1300,5.556302500767287
550677.4532947836,5279232.558926863,4080,7,4,0,0,103,2,1530,5.8221680793680175
564315.0220366028,5261305.41458867,7560,7,4,0,0,55,1.5,2020,5.578639209968072
565171.3437823148,5279021.153647977,9727,9,3,0,0,28,2.5,2440,5.874771637184298
557048.9417080532,5264953.467493165,17000,10,4,0,3,29,3.75,3730,6.194333926513591
551987.4932575094,5283867.866560431,9450,7,3,0,0,68,2.25,2440,5.845098040014257
559837.1123754602,5279297.310969501,6002,6,4,0,0,73,1.75,980,5.8178957571617955
565245.1779632272,5265694.99261844,10753,9,3,0,0,24,2.5,2730,5.878521795501206
566692.5874168738,5283873.547320617,5081,8,3,0,0,2,3.5,3220,5.978165903207401
561861.7162970792,5251109.0446917545,7881,7,4,0,0,38,2.25,1670,5.401400540781544
548632.4270163217,5281360.237869325,3399,7,5,0,0,89,1,1500,5.6180480967120925
560008.8387486619,5255224.424258675,5115,8,3,0,0,1,3.5,3273,5.685741738602264
546947.3265679053,5276255.90799628,932,8,3,0,0,5,2.5,1180,5.658011396657113
551047.3992985063,5288394.385341005,8184,6,3,0,0,68,1,1300,5.401400540781544
552812.7623155274,5267292.168494586,5481,8,3,0,0,62,1.75,2430,5.60422605308447
559570.8104288487,5290609.750356448,10000,8,3,0,0,23,2,1700,5.657055852857104
548477.533489792,5263853.573379784,5146,7,3,0,0,23,2.5,1770,5.574031267727719
553092.5946756238,5236274.720711451,7230,7,3,0,0,19,2.5,1710,5.439332693830263
565144.7611914679,5267950.213885325,18029,9,5,0,2,37,2.75,2750,5.977723605288848
554728.183283888,5239334.932013921,8214,8,3,0,0,2,3,2300,5.495393071274826
546570.047390738,5267050.114313402,1399,7,3,0,0,15,1,1270,5.568201724066995
551034.1157367966,5281369.705018747,5000,7,4,0,0,81,1,1460,5.596597095626461
553222.6616080331,5280066.66175188,4360,8,4,0,0,86,1,1160,5.699837725867246
559756.2754228311,5250409.252439586,6180,9,3,0,0,16,2.5,2480,5.623249290397901
547247.1817510806,5285572.395692975,8100,7,4,0,0,62,1,1340,5.641870545476313
553648.5756281873,5266399.504987674,4228,7,3,0,0,62,3,1780,5.544068044350276
546394.0493233748,5270260.773168114,4500,8,4,0,1,87,2.5,1690,5.8567288903828825
552001.6361707967,5290659.189609027,19850,9,3,0,0,22,2.5,2340,5.731588765186738
553368.862428754,5272298.8022333225,6653,11,3,0,2,23,1.25,2400,6.1423894661188365
547013.8468633158,5267998.392507227,1345,8,3,0,0,6,3.25,1560,5.6512780139981444
569474.2516831723,5289675.093857416,10092,7,5,0,0,44,0.75,1270,5.4996870826184034
561710.3761315154,5265456.529800875,9719,7,5,0,0,53,1.75,1580,5.71357453777207
559063.9889918629,5281490.182152401,6000,7,4,0,1,94,1,1150,5.919078092376074
551352.5350009267,5262222.065119267,7700,7,3,0,0,55,1,1700,5.3979400086720375
551300.7515025889,5285173.311147605,7320,7,5,0,0,61,2.5,1440,5.633468455579586
546005.8609162951,5281316.63530602,816,8,3,0,0,11,2.5,1330,5.574031267727719
545127.9272164133,5278386.627589749,5001,8,5,0,0,43,2.5,2130,5.849419413796899
545697.6402533689,5263153.215608305,5000,9,3,0,1,13,3.25,3230,5.911157608739977
551182.2132039006,5290107.267267522,7710,7,4,0,0,68,1.75,1250,5.528916700277655
560023.6199567082,5290303.194231305,8580,7,4,0,0,57,1.75,2250,5.670245853074124
553710.6837626231,5275992.023663526,3600,8,3,0,0,35,1.5,2430,5.973127853599698
564134.5418233452,5264026.576833047,16365,12,3,0,2,16,2.75,4120,6.113943352306837
546678.278080896,5281699.891345081,3348,7,4,0,0,91,1,1170,5.65991620006985
558107.6921237764,5264452.6211954355,15175,10,3,0,0,46,4,4510,6.271841606536499
560663.3907697697,5250251.835927138,7200,7,4,0,0,30,2.5,1730,5.3979400086720375
568240.515473362,5266996.323643567,15365,11,3,0,1,9,3.5,4010,6.141449773400467
564509.934854557,5264119.625815427,12369,10,3,0,0,17,2.5,3200,5.86041347739885
544539.8914784892,5276726.037607643,6906,10,4,0,0,87,2.25,3490,6.088136088700551
548777.3983497452,5281972.760110704,3075,7,5,0,0,86,1.5,1500,5.8139144200486035
566362.7445391002,5266696.813552775,17313,11,3,0,2,22,2.5,2979,5.9599948383284165
552637.3639149657,5286663.550410518,7884,7,3,0,0,46,1.5,1560,5.565847818673518
569547.5802532772,5264655.329012841,4684,10,3,0,0,6,3.5,3070,5.894869656745253
557655.8319066304,5287244.745845545,10050,7,3,0,0,52,1,1570,5.565257343420214
547774.973950186,5266915.357753789,4560,7,4,0,0,47,1,960,5.4623979978989565
552173.048468022,5271521.07250479,3000,7,3,0,0,19,2.25,2100,5.694605198933568
566572.5806568087,5281248.95519192,9000,7,4,0,0,49,1.75,2150,5.740362689494244
553642.3502440827,5267077.436859203,8064,7,3,0,0,102,3,2580,5.513217600067939
546671.5445081828,5263761.079064418,7344,7,5,0,0,104,1.75,1580,5.414973347970818
562250.4230009578,5264217.39536013,11286,8,3,0,0,19,2.5,2070,5.802773725291976
554721.2256667141,5256295.246091299,9375,8,3,0,0,47,2.5,2150,5.453318340047038
563272.2003039734,5253246.974768587,6655,7,4,0,0,30,2.25,1610,5.553883026643875
546452.6097428101,5281764.771801818,4046,7,3,0,0,84,2,1760,5.7435097647284294
564990.0816186276,5254766.244155921,7350,7,4,0,0,35,2.75,1440,5.5191583230939045
563926.4302302642,5248574.799052112,4038,8,4,0,0,26,2.5,2110,5.550228353055094
566992.6642964233,5283876.999322527,8147,10,3,0,0,12,2.5,3290,5.9327273673015295
563854.5798404824,5248240.579649095,12626,8,4,0,0,37,1.75,2190,5.531478917042255
565095.5485257956,5258846.546015204,4524,8,3,0,0,11,2.5,2320,5.633417953284989
560696.1125120375,5261655.775791356,7891,9,3,0,0,9,2.5,2590,5.724275869600789
549647.4645362223,5241201.538610206,10890,7,3,0,0,36,1.75,2520,5.434568904034199
546749.8417002372,5263383.817925632,6394,8,5,0,0,97,2,1550,5.698970004336019
561259.3718259968,5279712.2526283655,3366,9,3,0,0,19,2.5,1900,5.7363965022766426
556674.8661667774,5287879.757171383,12056,7,3,0,0,60,2,1670,5.6020599913279625
548951.9818273354,5279062.18241713,5000,7,5,0,0,94,3,3110,5.860338006570994
554349.5989868699,5279977.047592124,5795,8,3,0,0,75,1.75,1600,5.827578614573967
552280.4205494567,5276312.451933834,5735,9,3,0,0,58,2.25,2940,6.204119982655925
563082.3029122704,5291591.695054837,4876,8,3,0,0,10,2.5,2050,5.654176541877961
560187.4245452302,5281724.00318745,9320,8,4,0,0,21,2.5,2700,5.922984815708883
559164.4302169182,5256716.309178148,6781,8,3,0,0,16,3.5,2720,5.562292864456475
561721.5234752785,5264400.739655952,7553,8,3,0,0,19,2.5,2620,5.781755374652469
546611.5884398352,5290002.039720673,18483,8,3,0,0,61,1.5,1810,5.7160033436347994
551743.3285768104,5286010.8509159535,9500,7,3,0,0,39,1.75,1670,5.511883360978874
563249.0827949906,5248389.635061314,4338,7,3,0,0,6,2.5,1613,5.446381812222442
547791.5140618953,5264892.675405675,2509,8,3,0,0,11,2.5,1270,5.535294120042771
566315.1356244489,5270886.652111306,8996,7,4,0,2,53,1.75,2040,5.749543081091167
563633.7284533345,5261620.296618468,3858,8,3,0,0,7,3.5,3170,5.694605198933568
545647.0769792796,5269621.361702318,4650,7,3,0,0,65,1,1060,5.653212513775344
552281.262853722,5284570.737490846,8040,8,3,0,0,57,2.25,2560,5.752048447819439
551791.442873219,5280609.481724242,4080,7,3,0,0,100,1.5,1960,5.8061799739838875
544743.3032655857,5269792.193207899,4520,8,3,0,0,93,2,1960,5.872156272748293
562118.0419328545,5255401.996556416,7572,6,4,0,0,57,1,1280,5.243038048686294
551856.920852222,5273252.134033604,5298,9,4,0,0,113,2.5,2160,5.925569909543376
560228.0328846266,5263229.229419242,5573,9,4,0,0,12,2.5,2310,5.720159303405957
548006.628162155,5257014.398818449,6869,6,5,0,2,96,1.75,1850,5.662710623193903
565346.8562484072,5256581.919971656,4943,10,3,0,0,5,3.75,3090,5.741151598851785
557967.7448917467,5270964.466837695,9240,11,5,0,2,24,3.75,4220,6.19728055812562
560441.5028561879,5242469.439427098,12275,10,3,0,0,9,3.25,4386,5.7363965022766426
545359.6852306698,5277554.83941564,8556,8,4,0,1,61,2,2210,5.899904727697974
547691.9085850351,5240051.75599223,7300,8,3,0,0,49,1.75,1840,5.423245873936808
546947.3265679053,5276255.90799628,1600,8,3,0,0,5,1,980,5.650307523131937
544532.2407462497,5277726.283528227,5102,7,3,0,0,63,1.75,1800,5.816241299991783
554563.1253153697,5281223.909656088,9375,8,4,0,1,74,1.75,1900,6.018076063645795
558425.7532645868,5240015.06106674,7561,7,4,0,0,94,1.5,2010,5.389166084364533
552041.1245786771,5235431.801521693,6752,8,3,0,0,21,2.5,2370,5.491361693834273
562906.6355000272,5280129.97480292,7400,7,3,0,0,38,2,1580,5.681241237375588
562230.9506143669,5287136.381874608,7210,7,3,0,0,39,1.75,1800,5.703291378118661
567689.8533608199,5275537.477507479,11393,8,3,0,0,37,2.25,1790,5.69284691927723
551897.5794417115,5285534.288631332,5000,7,3,0,0,58,1,1330,5.6127838567197355
550372.8169780062,5262313.576801901,11800,7,3,0,0,65,1,1120,5.491291640687592
550995.1886651949,5277245.804136872,5500,9,4,0,0,106,2,2940,5.977723605288848
563948.0648305819,5260423.321533183,12060,7,4,0,0,55,1,1640,5.492760389026838
557757.9945132819,5284511.45858414,13505,8,3,0,0,60,2,1910,5.615371307939895
548339.0143166133,5262396.446873732,2500,7,3,0,0,9,2.5,1410,5.423245873936808
558441.1813979559,5238459.220067268,4179,5,5,0,0,101,1,1000,5.278524964737017
552465.857610586,5272401.754614588,2700,7,4,0,0,113,2,1410,5.7160033436347994
555119.4403488704,5237915.971452893,15480,7,3,0,0,32,1.75,2100,5.47567118832443
550822.4627126574,5279822.903470466,3060,6,3,0,0,90,1,950,5.690196080028514
566303.0077769525,5271953.564919825,8800,7,4,0,0,57,2.25,2720,5.724275869600789
550172.5713314296,5285530.244193979,11165,7,4,0,0,94,1,1510,5.739572344450092
548589.0969466974,5286539.337981312,6300,7,3,0,0,58,1,1010,5.477121254719663
547545.7681018058,5239428.195694397,8528,6,3,0,0,49,1,990,5.323231468114774
563401.518662146,5255237.900477014,11900,7,4,0,0,48,2.75,2580,5.553883026643875
552058.1291566129,5284357.551663967,7500,7,4,0,0,75,1,1660,5.66086547800387
557662.6762657881,5286555.679640945,7194,7,4,0,0,46,1.5,1250,5.553883026643875
553340.2963673552,5267196.931091825,5500,7,3,0,0,59,1,970,5.3222192947339195
544675.0791191929,5268880.293240172,7750,8,5,0,4,57,2.75,3410,6.041392685158225
550682.6973077918,5287235.24303146,6685,7,3,0,0,63,2,1360,5.4623979978989565
560924.4227669438,5268649.354288752,19798,10,3,0,0,46,3.25,3800,6.379305517750582
558577.0292777291,5240005.449009945,6825,5,4,0,0,98,1,690,5.153814864344529
567417.4568751896,5246935.495500198,8057,8,3,0,0,17,2.5,2000,5.554489160003819
559276.8967819493,5282692.772796253,8282,6,3,0,0,91,2,1140,5.697229342759718
551244.3721911284,5283060.999833533,1413,8,3,0,0,8,1.5,1270,5.643452676486188
568225.9732742999,5268241.0471835835,2700,8,3,0,0,5,2.5,1790,5.707485011967473
553255.1308190774,5268285.382804608,6250,7,3,0,0,61,1,1190,5.3979400086720375
548934.3005671857,5263246.08761581,7986,7,4,0,0,53,1.75,1830,5.549003262025788
546152.6970542781,5281729.039559375,4500,7,3,0,0,77,1,1500,5.7619278384205295
547222.989908796,5279314.645300398,2475,6,5,0,0,104,1,620,5.60422605308447
564862.9766829873,5272993.3042620085,8701,7,3,0,0,53,2.25,1620,5.672051653937387
550549.5869147078,5276663.956212337,4400,7,3,0,0,102,2,2450,5.903089986991944
550783.7027880016,5258349.298651124,15975,7,3,0,0,63,1,1530,5.445604203273597
550548.4292794191,5276797.322035104,1970,9,3,0,0,7,2.5,2200,6.021189299069938
563855.2338469301,5289443.778900803,8800,8,3,0,0,35,2.25,2640,5.729974285699556
569698.5125143328,5264623.781222817,3737,10,3,0,0,3,3.5,2950,5.916848582363452
558902.1852806791,5290036.045625846,8282,6,3,0,0,71,1,920,5.491361693834273
546087.9233065855,5270936.32686305,1089,7,3,0,0,6,2.5,1070,5.587654850995718
566185.3033061282,5269073.419737697,18750,9,2,0,0,48,2.5,3200,5.763427993562937
560866.1351901587,5259790.270129328,13680,7,4,0,2,72,2,2680,5.6020599913279625
550602.3933150307,5287845.85911107,7200,6,3,0,0,68,1,1010,5.4623979978989565
554087.3091332784,5243263.418403404,9987,7,3,0,0,48,2,1670,5.311117842662505
566790.8460224408,5281851.684810906,7508,10,3,0,0,17,2.5,3430,5.910090545594068
562080.1654267428,5287212.573868168,7100,7,3,0,0,39,1.75,1970,5.61066016308988
564194.1785462563,5279110.32893868,9703,8,2,0,0,37,1.75,2260,5.661812685537261
558687.1459271571,5274194.964938993,12668,9,3,0,0,68,2.75,4280,6.278753600952829
561177.8711163091,5280322.7239105925,12385,8,3,0,0,37,1.5,2220,5.658964842664435
546462.1098434733,5280575.583782674,5100,7,3,0,0,69,1.5,1470,5.741151598851785
548386.3403388433,5265775.60582954,5950,6,3,0,0,65,1,1020,5.585460729508501
549890.238682538,5257085.704660948,4373,6,2,0,0,68,1,1100,5.3979400086720375
549375.3949903216,5291069.710111377,10754,7,5,0,0,61,2.25,2180,5.724275869600789
550739.9801481199,5289258.649201392,8612,6,3,0,0,62,1,770,5.429752280002408
553399.2658170448,5268975.804388155,4080,7,5,0,0,53,2.5,2080,5.740362689494244
566184.4106032791,5275775.829539351,7519,7,3,0,0,52,1,2070,5.699837725867246
545703.5640626386,5281581.001958379,3880,7,5,0,0,61,2,2080,5.845098040014257
548616.9025844646,5283216.262511313,7114,6,3,0,0,69,1,760,5.633468455579586
552061.9283288813,5275543.581312361,4337,8,4,0,0,98,1.5,1840,5.907948521612273
554694.6050788761,5291161.914565016,12458,7,3,0,0,58,1,1770,5.532117116248804
553570.5478550459,5283048.630958903,7320,7,3,0,0,60,2,1200,5.662757831681574
561749.7624086217,5240204.565686282,7373,7,4,0,0,47,1.75,1100,5.380211241711606
549936.9770091203,5278025.772697103,4800,7,4,0,0,94,1.75,2344,5.898176483497677
560694.8382428335,5239882.400800422,13068,7,4,0,0,40,1.75,1470,5.424804893607895
551322.3468773875,5291208.883569975,7245,7,3,0,0,36,3,2270,5.638489256954637
560355.2649430437,5287238.842395375,7200,7,3,0,0,47,1.5,1540,5.644438589467838
553872.2067115862,5282884.696206183,5400,7,4,0,0,69,1.75,1740,5.6551384348113825
563264.154353119,5246989.361763524,7611,8,3,0,0,5,2.5,2026,5.553883026643875
559579.5372274156,5282451.335712018,7512,8,4,0,0,34,2.5,2020,5.871572935545879
549674.3307570084,5291161.182939674,8451,7,3,0,0,62,1,1400,5.541735212517804
566119.2377817607,5254934.474479008,6925,8,4,0,0,36,2,1830,5.509202522331103
549494.7349287942,5259294.095290583,9380,6,3,0,0,66,2,960,5.3222192947339195
566619.1816120067,5270601.123038377,10400,8,5,0,3,56,3,2900,5.968482948553935
561518.9741449179,5262186.762962013,9569,7,3,0,2,52,3,2800,5.544068044350276
546785.1535257053,5268374.445208522,5118,7,5,0,2,89,2.5,2420,5.776701183988411
553257.0566779388,5268074.223203431,1953,10,3,0,0,1,2.5,1640,5.825426117767823
